"","Prevalence.Estimate.Name","Serotracker_record_used_for_sampling_method","Serotracker_sampling_method","Dataset_Serotracker","Dataset_Chen","Dataset_both","Excluded_data","Excluded_screening","Excluded","exclusion_reason","Notes_exclusion","Author","url1","Population","source_population","date_start","date_end","Overall.Risk.of.Bias..JBI.","Country.or.Area","Geo","Specific.Geography","Location","Country","Region","IR_lower","IR_upper","deaths14_lower","deaths14_upper","death_data_quality","source_deathsdata","aged_65_older","source_aged65data","GDPppp","source_GDPdata","oecd_region","OECD_GDP","OECD_GDP_source"
"24","{pollan2020prevalence}","200706_Spain_InstituteofHealthCarlosIII_GeneralPopulation_ImmunoAssay","Stratified probability",1,1,1,0,0,0,"","","Pollan et al.","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31483-5/fulltext",47351567,"Population value is from  the World Bank for 2020 (\url{https://data.worldbank.org/indicator/SP.POP.TOTL?locations=ES}; accessed July 30, 2021).","2020-04-27","2020-05-11","Low","Spain","Europe","Spain","Spain","Spain","Spain",3.3,6.6,26834,26920,1,"Data for the number of deaths was obtained from Wikipedia (\url{en.wikipedia.org/wiki/COVID-19_pandemic_in_Spain}; accessed on April 28, 2021) which sourced the information from the Centro Nacional de Epidemiología (\url{cnecovid.isciii.es/covid19/}).  Note that, the number of deaths of for 2020-05-11 of 26,920 (14 days after the start of the sampling window), is actually higher than the number of deaths for 2020-05-25 of 26,834 (14 days after the end of the sampling window).  This may be due to a reporting issue which is noted by Wikipedia: ``Figures for 2020-05-24 to 2020-06-17 include corrections in the validation of past data from several autonomous communities as a result of the transition to a new surveillance methodology implemented from 2020-05-11.''",20,"Data for the proportion aged over 65 is from World Bank's World Development Indicators (WDI) data (see \url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS}  (last updated 2021-03-19)).",42362,"GDP value is from value listed for Spain from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,42362,1
"25","{richard2020seroprevalence}","201218_Geneva_GenevaUniversityHospitals_overall_adj","Stratified probability",1,0,0,0,0,0,"","","Richard et al.","https://www.medrxiv.org/content/10.1101/2020.12.16.20248180v1.full.pdf",504128,"Population value is from the the Swiss Federal Statistical Office (\url{https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/geneva.html}; accessed July 30, 2021). ","2020-04-06","2020-06-30","Low","Switzerland","Europe","Switzerland; Canton of Geneva","Geneva, Switzerland (2)","Switzerland","Lake Geneva Region",6.8,8.9,221,282,1,"Mortality data for the canton of Geneva were obtained from an excel file made publicly available by a Swiss government website at: \url{ge.ch/document/covid-19-donnees-completes-debut-pandemie} (accessed on April 28, 2021).",16,"Data for the proportion aged over 65 is from \url{https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/geneva.html}.",68964,"GDP value is from value listed for Switzerland from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,68964,1
"27","{ward2020declining}","210210_England_ImperialCollegeLondon_Overall_TestAdjPopAdj","Simplified probability",1,1,1,0,0,0,"","","Ward et al.","https://dx.doi.org/10.1038/s41467-021-21237-w",56550000,"Population value is from the Office of National Statistics report: ``Population estimates for the UK, England and Wales, Scotland and Northern Ireland: mid-2020''' (See Table 2) (\url{https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/bulletins/annualmidyearpopulationestimates/mid2020}; accessed July 30, 2021).","2020-06-20","2020-07-13","Low","The United Kingdom","Europe","The United Kingdom; England","England, UK (2)","United Kingdom","England",5.78,6.14,38996,39995,1,"We obtained the number of cumulative deaths for England from the PHE data series on deaths (\url{https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/924523/COVID-19_Death_Series_20201006.ods}; accessed on August 6, 2021). PHE data series on deaths notes that: ""There are 2 definitions of a death in a person with COVID-19 in England, one broader measure and one measure reflecting current trends: 1) A death in a person with a laboratory-confirmed positive COVID-19 test and
either died within 60 days of the first specimen date or died more than 60 days
after the first specimen date, only if COVID-19 is mentioned on the death
certificate; 2) A death in a person with a laboratory-confirmed positive COVID-19 test and
died within (equal to or less than) 28 days of the first positive specimen date.""  We use then numbers calculated from the first definition.",18,"Data for the proportion aged over 65 is for England from 2019 as listed by LG Inform (see \url{https://tinyurl.com/4vhrb2uu}; accessed on April 29, 2021).",43310.4,"GDP value is from value listed for United Kingdom from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26))",2,43310.4,1
"30","{jersey2020B}","200707_Jersey_StatisticsJersey_Round3_TestAdj_PopAdj","Simplified probability",1,0,0,0,0,0,"","","Statistics Jersey (2)","https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%2020200707%20SJ.pdf",107800,"","2020-06-21","2020-06-27","Low","The United Kingdom","Europe","Jersey, UK (2)","Jersey, UK (2)","United Kingdom","United Kingdom",2.8,5.2,31,31,1,"Data for the number of deaths was obtained from the Government of Jersey website (\url{https://www.gov.je/datasets/listopendata?listname=COVID19DeathsClassification}; accessed on April 28, 2021) summing both ``probable COVID-19'' deaths and ``laboratory proven'' COVID-19 deaths. ",17,"Data for the proportion aged over 65 is from \url{https://www.indexmundi.com/jersey/demographics_profile.html} (accessed on April 29, 2021)",48365,"GDP value is from value listed for United Kingdom from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26))",1,48365,1
"31","{bruckner2021estimated}","210204_OrangeCounty_UniversityofCaliforniaIrvine_Overall_PopTestAdj ","Stratified probability",1,1,1,0,0,0,"","","Bruckner et al.","https://dx.doi.org/10.1038/s41598-021-82662-x",3010232,"Population value obtained from \url{https://www.census.gov/quickfacts/orangecountycalifornia} (accessed June 27, 2021).","2020-07-10","2020-08-16","Low","United States of America","North America","United States of America; California","Orange County, CA, USA","United States","California",8.1,15.5,556,979,1,"For \citet{bruckner2021estimated}, we obtained number of cumulative deaths for Orange County from Orange County Public Works (as referenced by  \citet{bruckner2021estimated}) at: \url{data-ocpw.opendata.arcgis.com/datasets/2ec9342ffc814cf58161b1cca57365fd_0} (accessed on April 28, 2021).",15,"Data for the proportion aged over 65 is from \url{https://github.com/JieYingWu/COVID-19_US_County-level_Summaries/blob/master/data/README.md} (accessed on April 29, 2021).",79287,"GDP value is from value listed for the state of California, USA, for 2019 at \url{https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_GDP_per_capita} (accessed on April 29, 2021).",1,79287,1
"32","{bajema2020comparison}","201210_Atlanta_CDC_Community_OverallPopTestAdj","Stratified probability",1,0,0,0,0,0,"","","Bajema et al.","https://dx.doi.org/10.1093/cid/ciaa1804",1823234,"Population is from \url{https://www.census.gov/quickfacts/fultoncountygeorgia} and \url{https://www.census.gov/quickfacts/dekalbcountygeorgia}  (accessed July 28, 2021) (i.e., 759297 + 1063937).","2020-04-28","2020-05-03","Low","United States of America","North America","United States of America; Georgia; Atlanta","DeKalb and Fulton, GA, USA (2)","United States","Georgia",1.49,6.67,221,247,1,"For \citet{bajema2020comparison}, we obtained the number of deaths for DeKalb, and Fulton counties from the county-level COVID-19 dataset curated by the New York Times available at: \url{github.com/nytimes/covid-19-data} (accessed on April 28, 2021). ",12,"Data for the proportion aged over 65 is from \url{https://github.com/JieYingWu/COVID-19_US_County-level_Summaries/blob/master/data/README.md} (accessed on April 29, 2021).",58933,"GDP value is from value listed for the state of Georgia, USA, for 2019 at \url{https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_GDP_per_capita} (accessed on April 29, 2021).",1,58933,1
"33","{chan2021seroprevalence}","210218_RhodeIsland_BrownUniversity_overall_adj","Stratified probability",1,0,0,0,0,0,"","","Chan et al.","https://dx.doi.org/10.2105/AJPH.2020.306115",1059361,"The population calue is obtained from \url{https://www.census.gov/quickfacts/RI} (accessed July 28, 2021).","2020-05-05","2020-05-22","Low","United States of America","North America","United States of America; Rhode Island","Rhode Island, USA","United States","Rhode Island",1,6.2,147,189,0,"We obtained mortality data from the Rhode Island Department of Health available at \url{https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/}.  Note that Chan et al. (2021) state that: "" As of May 31, Rhode Island had reported 827 cumulative lab-confirmed SARS- CoV-2–involved deaths; 78.5% of  these deaths were associated with congregate care facilities. After exclusion of these deaths (and based on a 1.06 million state population), the estimated infection fatality rate corresponding to the unweighted seroprevalence of 2.1% was 7.7 per 1000 (95% CI = 3.9, 26.9); the infection fatality rate corre- sponding to the age-weighted seropre- valence of 2.9% was 5.6 per 1000 (95% CI = 2.6, 16.1).""  This suggests that the appropriate number of deaths for the target population should not include those deaths ""associated with congregate care facilities"".  As such we reduced the numbers for the deaths by 78.5% (=684*(1-0.785) and =877*(1-0.785)).",18,"Data for the proportion aged over 65 is from the U.S. Department of Commerce \url{https://www.census.gov/quickfacts/RI} (accessed on June 21, 2021).",58416,"GDP value is from value listed for the state of Rhode Island, USA, for 2019 at \url{https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_GDP_per_capita} (accessed on April 29, 2021).",1,58416,1
"39","{beaumont2021high}","210308_Perpignan_CentreHospitalierDePerpignan_Overall_PopAdj","Stratified probability
",1,0,0,1,0,1,"death data not found","excluded due to lack of mortality data for the target population (three specific neighbourhoods (Saint-Jacques, Haut-Vernet, and Nouveau Logis) in the city of Perpignan, France).","Beaumont et al.","https://www.medrxiv.org/content/10.1101/2021.03.05.21252835v1.full-text",NA,"","","","Low","France","Europe","France; Occitanie; Perpignan","Three neighbourhoods in the city of Perpignan, France.","France","Perpignan, France",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"40","{gegout2021seroprevalence}","210212_Nancy_UniversitéDeLorraine_overall","Stratified probability",1,0,0,1,0,1,"death data not found","excluded due to lack of mortality data for ""Grand Nancy"" (however, note that ""coronadatascraper.com"" does have data for the larger region of Meurthe-et-Moselle, Grand Est, France.","Gégout-Petit et al.","10.1101/2021.02.10.21250862",NA,"","","","Low","France","Europe","France","Grand Nancy metropolitan area, France","France","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"41","{ramaswamy2021cross}","210303_Jabalpur_NationalCentreForDiseaseControl_TestPopAdj","Stratified probability",1,0,0,1,0,1,"death data not found","While official death numbers are available for the District of Jabalpur (from the ""Official Account of the Directorate of Health Services, Government of Madhya Pradesh. (e.g., \url{https://twitter.com/healthminmp/status/1346107670869155843/photo/1}; accessed July 27, 2021)), we could not find data for the City of Jabalpur.","Ramaswamy et al.","https://web.archive.org/web/20210410213821/http://medical.advancedresearchpublications.com/index.php/Journal-CommunicableDiseases/article/view/536",1206219,"Ramaswamy et al.: ""As provided by JMC Jabalpur, the population of the city 12,06,219 ""","2020-12-11","2020-12-21","Low","India","South Asia","India; Madya Pradesh; Jabalpur","Jabalpur, Madya Pradesh, India","India","Madhya Pradesh",28.41,30.43,237,775,0,"Official death numbers obtained from the ""Official Account of the Directorate of Health Services, Government of Madhya Pradesh. (e.g., ""https://twitter.com/healthminmp/status/1346107670869155843/photo/1"").  We multiplied the number recorded for 14 days after the end of the sampling window of 242 by a factor of 3.2 (based on the upper bound of \citet{mukherjee2021estimating}'s estimated  underreporting factor for Madhya Pradesh)  in order to account for potential underreporting.  As such, our interval is relatively wide and reflects the uncertainty in the true number of deaths: [237, 775]. ",6,"Data for the proportion aged over 65 is from World Bank's World Development Indicators (WDI) data (see \url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS}  (last updated 2021-03-19)).",3336,"GDP value is from value listed for India from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).  ",1,3336,1
"42","{khan2021results}","20210406_Kashmir_GovernmentMedicalCollegeSringar_PopTestAdj","Stratified probability",1,0,0,1,0,1,"death data not found","death data not found","Khan et al.","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3820632",7600000,"Khan et al.: ""We provide seroprevalence estimates in Kashmir, a valley in north India with a population of approximately 7.6 million.""","2020-10-17","2020-11-04","Low","India","South Asia","India; Kashmir","Vale Kashmir, India","India","India",34.3,39.2,983,1068,NA,"Official death numbers obtained from the ""Official Twitter handle of Department of Information and Public Relations, Govt of Jammu & Kashmir (DIPR-J&K ""@diprjk"")"".  Note that, while not specifically referenced, the numbers reported by this source are consitent with those used in Khan et al. Unfortunately, \citet{mukherjee2021estimating} does not provide an estimated underreoprting factor for Kashmir noting that this is ""[o]wing to lack of sufficient data, estimates from Jammu and Kashmir..."".  As such, we exclude this study from the analysis.
",6,"Data for the proportion aged over 65 is from World Bank's World Development Indicators (WDI) data (see \url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS}  (last updated 2021-03-19)).",4735,"GDP value is from value listed for India from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).  Note that we use 18.9 million as the estimated population of Delhi, the number cited by both \citet{sharma2020seroprevalence} and \citet{bhattacharyya2021incorporating}, while \citet{chen2021serological} use a much different number: 30,290,936 (see Table S14 in Supplementary appendix 2 of \citet{chen2021serological}).",NA,4735,1
"43","{poustchi2021sars} ","201215_Iran_TehranUniversityofMedicalSciences_GenPop1_overall_PopTestAdj","Stratified probability",1,1,1,1,0,1,"death data not found","No (excess) mortality data available for the specific target population (i.e., for the 18 specific Iranian cities).","Poustchi et al.","http://dx.doi.org/10.1016/S1473-3099%2820%2930858-6",NA,"","2020-04-17","2020-06-02","Low","Iran (Islamic Republic of)","Middle East","Iran (Islamic Republic of)","18 cities of Iran","Iran","Iran",14.6,19.5,NA,NA,NA,"\citet{kobak2021excess} suggest that official mortality data for Iran is innacurate.  Furthermore, city specific mortality data could not be found; however see Ghafari et al. (2021) for a provinve-level analysis of excess deaths associated with the Iranian COVID-19 epidemic.",NA,"",NA,"",0,NA,0
"45","{huamani2021population} ","210120_Cusco_UniversidadCientíficadelSur_PopAdj","Stratified probability",1,0,0,1,0,1,"death data not found","Unable to find mortality data for the specific target population (""three settings in Cusco: (1) Cusco city, (2) the periphery of Cusco, and (3) Quillabamba city"").","Huamaní et al.","https://www.medrxiv.org/content/10.1101/2021.01.17.21249990v1",NA,"","","","Low","Peru","South America","Peru; Cusco","Cusco, Peru","Peru","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"46","{he2021seroprevalence}","210320_Wuhan_ChineseAcademyOfMedicalSciences_overall_Roche","Stratified probability",1,0,0,1,0,1,"not included in \citet{karlinsky2021world} analysis","excluded due to unreliable mortality data (see: https://www.bmj.com/content/372/bmj.n415 and https://www.economist.com/graphic-detail/2021/05/30/covid-19-deaths-in-wuhan-seem-far-higher-than-the-official-count)","He et al.","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00238-5/fulltext?dgcid=raven_jbs_etoc_email",NA,"","2020-04-14","2020-04-15","Low","China","East Asia","China; Wuhan","Wuhan, China","China","China",6.41,7.43,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"49","{qutob2021seroprevalence}","210107_WestBank_ArabAmericanUniversity_Households_overall_adj","Stratified probability",1,0,0,1,0,1,"not included in \citet{karlinsky2021world} analysis","The target population is the West Bank or more specifically ``the Palestinian population residing in the West Bank''.  \citet{karlinsky2021world} do not include the West Bank (or Palestine) in their analysis, so their excess death numbers are unavailable for us to determine if the official COVID-19 mortality numbers are accurate.","Qutob et al.","https://dx.doi.org/10.1136/bmjopen-2020-044552",2314746,"Population value is from the CIA World Factbook (\url{https://www.cia.gov/the-world-factbook/countries/west-bank/}; accessed July, 30, 2021).  This CIA World Factbook has a estimated population of ``2,949,246 (July 2021 est.)'' noting that ``approximately 418,600 Israeli settlers live in the West Bank (2018); approximately 215,900 Israeli settlers live in East Jerusalem (2017)''.","2020-06-15","2020-06-30","Low","Palestinian population residing in the occupied Palestinian territory, including east Jerusalem","Middle East","occupied Palestinian territory, including east Jerusalem","West Bank (Palestinian)","West Bank and Gaza","Palestine",0,0.43,7,46,0,"For Qutob et al., the target population is the West Bank or more specifically ""the Palestinian population residing in the West Bank"".  Karlinsky & Kobak (2020) do not include the West Bank (or Palestine) in their data, so we can't use excess death numbers to determine if official covid mortality numbers are accurate.  We use official death numbers from the palestinian government dashboard (https://corona.ps/details) (substrating those deaths listed for the Gaza Strip).  ",3,"Data for the proportion aged over 65 is from World Bank's World Development Indicators (WDI) data (\url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS?locations=PS}; accessed July 30, 2021) for the West Bank and Gaza.",6495.2,"GDP value is from value listed for West Bank and Gaza from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",NA,6495.2,0
"51","{truc2021effects}","210320_Cogne_UniversitàDiTorino_genpop_overall","Entire sample",1,0,0,0,1,1,"95% interval not provided","No uncertainty interval provided for the prevalence estimate","Truc et al.","https://www.medrxiv.org/content/10.1101/2021.03.19.21253962v1.full-text",NA,"","","","Low","Italy","Europe","Italy; Valle D'Aosta; Cogne","Municipality of Cogne, Italy","Italy","Aosta Valley",NA,NA,NA,NA,NA,"",NA,"",57944,"",1,57944,1
"56","{stefanelli2021prevalence}","201127_Trento_AziendaProvincialeperiServiziSanitari_OverallAdj","Convenience",1,0,0,0,1,1,"convenience sampling","convenience sampling","Stefanelli et al.","https://dx.doi.org/10.1016/j.cmi.2020.11.013",7898,"Stefanelli et al. : ""Based on the census data, 7898 individuals resident in the municipalities were involved in the study (population on 1 January 2019; source: National Census Bureau, ISTAT).""","2020-05-05","2020-05-15","Low","Italy","Europe","Italy; Trento","Five municipalities of the Autonomous Province of Trento, Italy","Italy","Province of Trento",22,24.1,33,35,NA,"Death numbers obtained from archived versions of the COVID TRENTINO dashboard: https://covid19trentino.fbk.eu/ (for the five municipalities: ""BORGO CHIESE"" , ""CAMPITELLO DI FASSA-CIAMPEDEL"", ""CANAZEI-CIANACEI"" , ""PIEVE DI BONO-PREZZO"", ""VERMIGLIO"").  The dashboard notes that data corresponds to ""total number of deceased persons residing in that municipality from 3 March 2020"".   The github repository associated with the dashboard is at:
https://github.com/napo/covid19apssdashboard
If you click on the commits, you can find all the changes (https://github.com/napo/covid19apssdashboard/commits/master).  Thank you to Maurizio Napolitano for assistance with these data.  Note that Stefanelli et al.  write that ""35 deaths were reported, since the beginning of the pandemic, in the five municipalities involved in the seroprevalence study""  and ""35 deaths have been registered among elderly individuals during the study period."" ",22.6,"https://www.citypopulation.de/en/italy/admin/trentino_alto_adige/022__trento/",57962,"GDP value is from value listed for Italy from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,57962,1
"62","{murhekar2021sars}","210127_India_ICRM_overall_adj","Stratified probability",1,1,1,0,1,1,"duplicate","duplicate","Murhekar et al. (2)","https://dx.doi.org/10.1016/S2214-109X(20)30544-1",NA,"","","","Low","India","India","India","India","India","India",NA,NA,NA,NA,NA,"",NA,"",4735,"",1,4735,1
"63","{perez2021evolution} ","210312_Spain_ InstitutoDeSalud CarlosIII_overall_Abbott","Stratified probability",1,0,0,0,1,1,"duplicate","duplicate","Pérez-Olmeda et al.","https://www.medrxiv.org/content/10.1101/2021.03.11.21253142v1",NA,"","","","Low","Spain","Europe","Spain","Spain","Spain","Spain",NA,NA,NA,NA,NA,"",NA,"",42362,"",NA,42362,1
"64","{stringhini2021seroprevalence}","210201_Geneva_GenevaUniversityHospitals_overall_adj","Stratified probability",1,0,0,0,1,1,"duplicate","duplicate","Stringhini et al. (2)","https://dx.doi.org/10.1016/S1473-3099(21)00054-2",504128,"Population value is from the the Swiss Federal Statistical Office (\url{https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/geneva.html}; accessed July 30, 2021). 
","","","Low","Switzerland","Europe","Switzerland","Geneva, Switzerland","Switzerland","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"66","{backhaus} ","210203_Dusseldorf_InstituteOfMedicalSociology_overall_TestAdj","Simplified probability",1,0,0,0,1,1,"narrow target population","Two cohorts that are not representative of overall population:  ""Young people between the ages of 18-30"" and those in the ""fire brigade and rescue services"".","Backhaus et al.","https://www.uniklinik-duesseldorf.de/patienten-besucher/klinikeninstitutezentren/institut-fuer-medizinische-soziologie/das-institut/forschung/serodus",NA,"","","","Low","Germany","Europe","Germany","Dusseldorf, Germany","Germany","Dusseldorf, Germany",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"68","{ulyte2021clustering} ","201222_Zurich_UniversityofZurich_Time1","Stratified probability",1,0,0,0,1,1,"narrow target population","only school children","Ulyte et al.","https://www.medrxiv.org/content/10.1101/2020.12.19.20248513v1",NA,"","","","Low","Switzerland","Europe","Switzerland; Zurich; Zurich","Zurich, Switzerland ","Switzerland","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"69","{silveira2020population}","200708_RioGrandeDoSul_UniversidadeFederalDePelotas_Round1_GenPop","Stratified probability",1,0,0,0,1,1,"no longer considered accurate based on new information  ","excluded due to new information about the sensitivity of the Wondfo test","Silveira et al.","https://www.nature.com/articles/s41591-020-0992-3",NA,"","","","Low","Brazil","South America","Brazil; Rio Grande do Sul; Ijui, Passo Fundo, Caxias, Canoas, Porto Alegre, Pelotas, Santa Maria, Santa Cruz do Sul, Uruguaiana","Regions of Brazil","Brazil","Brazil",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
"71","{li2021antibody}","210206_China_ChineseCenterforDiseaseControlandPrevention_Overall","Stratified probability",1,0,0,0,1,1,"no longer considered accurate based on new information  ","excluded due to new information about the sensitivity of the Wondfo test","Li et al.","https://dx.doi.org/10.1016/j.lanwpc.2021.100094",NA,"","","","Low","China","East Asia","China","Wuhan City, Hubei-ex-Wuhan, and six provinces, China","China","China",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,0
